,method,MI
0,affine,0.5765637726983431
1,affine,1.6877822357672343
2,affine,0.5335495481860077
3,affine,0.5818395356848435
4,affine,0.6313432949384169
5,affine,0.6358657163776467
6,affine,0.627362504100454
7,affine,0.6970429719317452
8,affine,0.6297574973934678
9,affine,0.5998235630425173
10,affine,0.6263404480147103
11,affine,0.611768734093648
12,affine,0.5869630944722841
13,affine,0.5730629822019063
14,affine,0.5402304852689898
15,rigid,0.5368928264107835
16,rigid,1.6877822357672343
17,rigid,0.4908096569419463
18,rigid,0.5497751666410452
19,rigid,0.5616439626152542
20,rigid,0.5782966850466756
21,rigid,0.5226157142554073
22,rigid,0.6295643494438633
23,rigid,0.6203210856618676
24,rigid,0.5121084008842833
25,rigid,0.5831003765060689
26,rigid,0.5155429284215018
27,rigid,0.5688757398605823
28,rigid,0.5435333722385631
29,rigid,0.5253179066722962
